Student_ID,Student_Name,Lesson_ID,Lesson_Name,Module_1_Score,Module_2_Score,Module_3_Score,Avg_Module_Score,Weak_Module_Count,Priority_Score,Followup_Quiz_Score,Improvement_Percentage,Lesson_Performance,Quiz_Difficulty,Actual_Lesson_End_Examination_Mark
ST031,Anjana Dissanayake,L2,Fundamentals of a Computer System,21.91,9.74,22.14,17.93,1,14,16.68,-6.97,Good,Medium,60.75
ST032,Kanishka Mendis,L1,Information and Communication Technology,10.35,18.81,21.29,16.82,1,13,21.76,29.37,Good,Hard,73.03
ST032,Kanishka Mendis,L2,Fundamentals of a Computer System,25.0,22.9,17.12,21.67,1,11,25.0,15.37,Excellent,Medium,86.61
ST033,Nipun Chathuranga,L1,Information and Communication Technology,19.03,23.16,19.87,20.69,0,5,22.72,9.81,Excellent,Hard,82.73
ST033,Nipun Chathuranga,L2,Fundamentals of a Computer System,18.19,14.75,21.49,18.14,1,19,18.4,1.43,Good,Medium,71.56
ST034,Ruchira Fernando,L1,Information and Communication Technology,11.86,23.39,20.33,18.53,1,12,20.03,8.09,Good,Medium,71.51
ST034,Ruchira Fernando,L2,Fundamentals of a Computer System,21.57,14.18,25.0,20.25,1,17,24.54,21.19,Excellent,Medium,95.37
ST035,Harshana Perera,L1,Information and Communication Technology,16.27,15.29,12.08,14.55,3,33,20.44,40.48,Needs Improvement,Hard,76.41
ST035,Harshana Perera,L2,Fundamentals of a Computer System,9.32,14.57,24.34,16.08,2,27,22.89,42.35,Good,Medium,84.39
ST036,Tharuka Nadeeshan,L1,Information and Communication Technology,22.85,16.28,19.51,19.55,1,12,21.59,10.43,Good,Medium,72.57
ST036,Tharuka Nadeeshan,L2,Fundamentals of a Computer System,20.68,18.83,15.24,18.25,1,18,19.75,8.22,Good,Hard,81.57
ST037,Bhanuka Dilshan,L1,Information and Communication Technology,19.87,17.08,13.54,16.83,2,25,20.84,23.83,Good,Easy,72.61
ST037,Bhanuka Dilshan,L2,Fundamentals of a Computer System,15.76,9.83,18.23,14.61,2,22,16.86,15.4,Needs Improvement,Medium,59.86
ST038,Udara Sampath,L1,Information and Communication Technology,17.83,12.5,19.49,16.61,2,21,23.56,41.84,Good,Medium,88.46
ST038,Udara Sampath,L2,Fundamentals of a Computer System,21.03,14.35,16.7,17.36,2,28,25.0,44.01,Good,Medium,88.45
ST039,Lasith Maduranga,L1,Information and Communication Technology,24.58,15.75,21.31,20.55,1,12,24.17,17.62,Excellent,Medium,79.31
ST039,Lasith Maduranga,L2,Fundamentals of a Computer System,18.81,13.22,13.31,15.11,2,27,15.99,5.82,Good,Medium,57.9
ST040,Vishwa Amarasinghe,L1,Information and Communication Technology,24.75,21.41,18.97,21.71,0,4,25.0,15.15,Excellent,Medium,97.62
ST040,Vishwa Amarasinghe,L2,Fundamentals of a Computer System,20.16,11.81,18.24,16.74,1,19,21.16,26.4,Good,Medium,76.27
ST041,Amanda Perera,L1,Information and Communication Technology,17.96,8.81,20.99,15.92,2,25,18.53,16.39,Good,Easy,67.01
ST041,Amanda Perera,L2,Fundamentals of a Computer System,15.5,15.09,17.35,15.98,3,38,13.97,-12.58,Good,Hard,58.13
ST042,Nethmi Fernando,L1,Information and Communication Technology,17.04,12.46,16.69,15.4,3,38,19.91,29.29,Good,Medium,76.54
ST042,Nethmi Fernando,L2,Fundamentals of a Computer System,21.33,8.27,25.0,18.2,1,15,20.07,10.27,Good,Medium,69.21
ST043,Kavindi Silva,L1,Information and Communication Technology,11.49,17.24,20.04,16.26,2,26,17.45,7.32,Good,Medium,65.51
ST043,Kavindi Silva,L2,Fundamentals of a Computer System,13.16,13.74,19.19,15.36,2,22,22.49,46.42,Good,Medium,72.24
ST044,Sachini Jayawardena,L1,Information and Communication Technology,20.51,11.94,25.0,19.15,1,13,20.94,9.35,Good,Medium,77.86
ST044,Sachini Jayawardena,L2,Fundamentals of a Computer System,18.36,19.44,25.0,20.93,0,8,24.99,19.4,Excellent,Medium,93.45
ST045,Yasasmi Peris,L1,Information and Communication Technology,16.23,19.29,21.61,19.04,1,14,19.46,2.21,Good,Medium,80.82
ST045,Yasasmi Peris,L2,Fundamentals of a Computer System,21.3,25.0,17.41,21.24,1,13,25.0,17.7,Excellent,Medium,100.0
ST046,Tharushi Senanayake,L1,Information and Communication Technology,10.56,21.98,21.75,18.1,1,15,16.42,-9.28,Good,Hard,58.12
ST046,Tharushi Senanayake,L2,Fundamentals of a Computer System,19.15,17.83,21.28,19.42,1,18,20.66,6.39,Good,Hard,78.68
ST047,Dinithi Wickramasinghe,L1,Information and Communication Technology,24.82,16.84,22.31,21.32,1,17,25.0,17.26,Excellent,Easy,93.29
ST047,Dinithi Wickramasinghe,L2,Fundamentals of a Computer System,14.36,25.0,18.84,19.4,1,16,24.97,28.71,Good,Easy,87.68
ST048,Piumi Herath,L1,Information and Communication Technology,21.03,12.39,22.48,18.63,1,13,24.34,30.65,Good,Medium,91.48
ST048,Piumi Herath,L2,Fundamentals of a Computer System,24.27,11.11,16.28,17.22,2,27,21.53,25.03,Good,Easy,78.62
ST049,Ayesha Ranasinghe,L1,Information and Communication Technology,18.72,25.0,18.19,20.64,0,4,23.73,14.97,Excellent,Hard,91.96
ST049,Ayesha Ranasinghe,L2,Fundamentals of a Computer System,20.69,13.85,18.27,17.6,1,13,20.97,19.15,Good,Hard,77.6
ST050,Hashini Ekanayake,L1,Information and Communication Technology,14.04,16.37,19.22,16.54,2,28,21.73,31.38,Good,Medium,86.52
ST050,Hashini Ekanayake,L2,Fundamentals of a Computer System,15.24,20.08,16.48,17.27,2,29,19.85,14.94,Good,Hard,68.78
ST051,Imesha Bandara,L1,Information and Communication Technology,17.74,21.04,22.36,20.38,1,13,23.3,14.33,Excellent,Medium,78.59
ST051,Imesha Bandara,L2,Fundamentals of a Computer System,19.11,13.41,22.62,18.38,1,12,19.35,5.28,Good,Hard,74.5
ST052,Nadeesha Gunawardena,L1,Information and Communication Technology,16.92,11.47,25.0,17.8,2,27,20.92,17.53,Good,Medium,74.11
ST052,Nadeesha Gunawardena,L2,Fundamentals of a Computer System,22.52,25.0,16.71,21.41,1,18,21.11,-1.4,Excellent,Medium,81.06
ST053,Shashini Karunaratne,L1,Information and Communication Technology,25.0,25.0,16.74,22.25,1,13,18.11,-18.61,Excellent,Easy,69.4
ST053,Shashini Karunaratne,L2,Fundamentals of a Computer System,16.98,16.25,21.11,18.11,2,23,18.89,4.31,Good,Easy,79.21
ST054,Upeksha Samarasinghe,L1,Information and Communication Technology,19.94,13.14,18.64,17.24,1,17,20.3,17.75,Good,Medium,75.09
ST054,Upeksha Samarasinghe,L2,Fundamentals of a Computer System,12.36,8.46,23.04,14.62,2,25,18.62,27.36,Needs Improvement,Medium,64.32
ST055,Dilki Peiris,L1,Information and Communication Technology,17.04,15.13,21.84,18.0,2,24,21.89,21.61,Good,Hard,78.67
ST055,Dilki Peiris,L2,Fundamentals of a Computer System,13.77,13.98,17.97,15.24,3,37,19.62,28.74,Good,Easy,75.12
ST056,Rashmi Rodrigo,L1,Information and Communication Technology,19.32,21.35,21.11,20.59,0,5,24.11,17.1,Excellent,Medium,83.63
ST056,Rashmi Rodrigo,L2,Fundamentals of a Computer System,12.37,9.22,21.42,14.34,2,25,19.71,37.45,Needs Improvement,Medium,69.72
ST057,Nethara Weerasinghe,L1,Information and Communication Technology,16.53,19.36,19.67,18.52,1,17,19.57,5.67,Good,Medium,70.81
ST057,Nethara Weerasinghe,L2,Fundamentals of a Computer System,17.77,18.54,12.16,16.16,2,29,17.91,10.83,Good,Hard,65.22
ST058,Chamodi Abeykoon,L1,Information and Communication Technology,18.07,18.74,16.84,17.88,1,16,19.32,8.05,Good,Hard,72.8
ST058,Chamodi Abeykoon,L2,Fundamentals of a Computer System,14.09,19.04,12.19,15.11,2,29,21.73,43.81,Good,Easy,79.43
ST059,Keshani Rathnayake,L1,Information and Communication Technology,16.3,13.77,22.65,17.57,2,22,18.74,6.66,Good,Medium,64.95
ST059,Keshani Rathnayake,L2,Fundamentals of a Computer System,20.04,16.21,22.23,19.49,1,12,23.53,20.73,Good,Easy,81.67
